7458293;1699621426244612200;63.0368;0 
7458294;1699621426354967600;110.3554;0 
7458297;1699621426449551700;47.3002;0 
7458299;1699621426575366600;62.8672;0 
74582911;1699621426686427900;48.5398;0 
74582913;1699621427178878500;63.4306;0 
74582914;1699621427494741300;63.6225;0 
74582915;1699621427557588800;62.8475;0 
74582917;1699621427683397000;62.781;0 
74582919;1699621427809497900;63.1635;0 
74582920;1699621427875648600;66.1507;0 
74582922;1699621427999107600;63.2831;0 
74582923;1699621428155895000;156.7874;0 
74582924;1699621428219365600;63.4706;0 
74582925;1699621428282343100;62.9775;0 
74582927;1699621428408098900;62.8339;0 
74582928;1699621428477092800;68.9939;0 
74582930;1699621428596651900;63.0915;0 
74582932;1699621428722482100;63.4604;0 
74582933;1699621428785520700;63.0386;0 
74582935;1699621428911394400;63.3435;0 
74582936;1699621428978148400;66.754;0 
74582938;1699621429099845400;63.0208;0 
74582940;1699621429226535900;64.1712;0 
74582941;1699621429289315700;62.7798;0 
74582943;1699621429414382400;62.5333;0 
74582944;1699621429484954700;70.5723;0 
74582946;1699621429602678900;62.7715;0 
74582947;1699621431117705100;63.2947;0 
74582949;1699621431243655300;62.3986;0 
74582950;1699621431310186000;66.5307;0 
74582952;1699621431433358400;51.6892;0 
74582954;1699621431559268200;63.0093;0 
74582955;1699621431622953400;63.6852;0 
74582957;1699621431749179200;63.0063;0 
74582958;1699621431818259800;69.0806;0 
74582960;1699621431938697900;55.9587;0 
74582962;1699621432064554400;62.988;0 
74582963;1699621432127973000;63.4186;0 
74582965;1699621432254538800;63.3065;0 
74582966;1699621432383958400;129.4196;0 
74582968;1699621432443907500;59.9491;0 
74582970;1699621432569853400;63.2053;0 
74582971;1699621432633224800;63.3714;0 
74582973;1699621432759859300;63.1068;0 
74582974;1699621432886170700;126.3114;0 
74582976;1699621432948716400;62.5457;0 
74582978;1699621433074704900;63.0081;0 
74582979;1699621433138655900;63.951;0 
74582981;1699621433264764500;63.2564;0 
74582982;1699621433393635000;128.8705;0 
74582984;1699621433456406600;62.7716;0 
74582985;1699621433614327600;157.921;0 
74582986;1699621433677347600;63.02;0 
74582988;1699621434072433000;63.0162;0 
74582990;1699621434198064600;63.1223;0 
74582991;1699621434260974600;62.91;0 
74582993;1699621434371180200;62.9668;0 
74582995;1699621434498550300;63.622;0 
74582996;1699621434561978100;63.4278;0 
74582998;1699621434689252900;64.2344;0 
745829100;1699621434815627800;63.5222;0 
745829101;1699621434878297300;62.6695;0 
745829103;1699621435005445600;64.2105;0 
745829104;1699621435068583300;63.1377;0 
745829106;1699621435195624900;63.5682;0 
745829107;1699621435511218000;63.5366;0 
745829108;1699621435574129100;62.9111;0 
745829109;1699621435701622400;127.4933;0 
745829111;1699621436018617400;64.0196;0 
745829112;1699621444807069200;67.3296;0 
745829113;1699621444865371600;58.3024;0 
