5055902;1699455677805400600;48.4996 
5055903;1699455677877306300;71.9057 
5055905;1699455678009317900;70.6189 
5055906;1699455678070548300;61.2304 
5055908;1699455678206383200;68.2201 
50559010;1699455678308015800;52.5588 
50559011;1699455678372474000;64.4582 
50559013;1699455678506291000;68.4416 
50559014;1699455678638572600;132.2816 
50559016;1699455678707263200;68.6906 
50559018;1699455678823979900;65.4429 
50559019;1699455678892148600;68.1687 
50559021;1699455679025341300;71.3938 
50559022;1699455679105485800;80.1445 
50559024;1699455679210049300;55.0915 
50559026;1699455679322591500;69.2913 
50559027;1699455679438091000;115.4995 
50559030;1699455679539518400;51.0752 
50559032;1699455679639334900;50.886 
50559034;1699455679739630400;50.1155 
50559036;1699455679839830900;47.6274 
50559038;1699455679935877000;49.7304 
50559040;1699455680041769900;56.0329 
50559042;1699455680136325900;47.0631 
50559044;1699455680241689400;56.7308 
50559046;1699455680356302000;66.7916 
50559047;1699455680455684000;99.382 
50559048;1699455680619995800;50.814 
50559050;1699455680738638300;65.7222 
50559052;1699455680836501900;50.6112 
50559054;1699455680934284400;48.8529 
50559056;1699455681039875100;53.2396 
50559058;1699455681167921400;66.7298 
50559060;1699455681272532500;53.1932 
50559062;1699455681371508800;51.9771 
50559064;1699455681468341000;48.8913 
50559066;1699455681568407800;50.4843 
50559068;1699455681671990700;52.6558 
50559070;1699455681771127900;48.6587 
50559072;1699455681874185800;55.2354 
50559074;1699455681971030800;49.6915 
50559076;1699455682071238500;52.3237 
50559078;1699455682168581700;47.3044 
50559080;1699455682270329100;52.0853 
50559082;1699455682368784400;51.4729 
50559084;1699455682469346400;51.648 
50559086;1699455682568882700;52.7372 
50559088;1699455682668402500;48.786 
50559090;1699455682767995500;50.6424 
50559092;1699455682867810000;49.6603 
50559094;1699455682969701200;52.231 
50559096;1699455683069890300;48.5122 
50559098;1699455683417304500;49.4459 
505590100;1699455683520063400;52.4485 
505590101;1699455683584730100;64.6667 
505590102;1699455683783693300;50.832 
505590104;1699455683885036900;52.8204 
505590106;1699455684032773200;99.1764 
505590108;1699455684131763000;98.9898 
505590111;1699455684234040000;51.0059 
505590113;1699455684335512700;53.2795 
505590115;1699455684435858900;51.6553 
505590117;1699455684536114400;54.4446 
505590119;1699455684632934000;50.0833 
505590121;1699455684732131800;50.2707 
505590123;1699455684832776200;50.7327 
505590125;1699455684937380800;55.9121 
505590127;1699455685032878300;49.2905 
505590129;1699455685134882000;54.0529 
505590131;1699455685236390700;53.4711 
505590133;1699455685330210700;46.0384 
505590135;1699455685436411300;55.903 
